xxxx;;;;;;;;;;;;;;x
918ROAD_TO_WIN_NAME;松花江上 ;;;;;;;;;;X
918ROAD_TO_WIN_DESC;福煦所谓二十年的休战或许不能如愿了,在世界的东方,中国和日本之间的冲突已经箭在弦上。北大营的枪声打碎了南京政府和平的幻梦,战争,或许只在朝夕之间。【欢迎使用漫天花雨mod】;;;;;;;;;;x
ROAD_TO_WIN_NAME;长城守望 ;;;;;;;;;;X
ROAD_TO_WIN_DESC;一曲松花江上,不知是多少年的国殇。自1931年九一八事变以来,日寇之铁蹄并没有停止在中国东北,1933年1月,日军占领山海关,兵锋直指平津一线。与此同时,南京方面的蒋介石不顾民族危亡,提出“攘外必先安内,统一方能御侮”堂而皇之地动用全国军力进行维护其独裁统治的所谓的“剿匪”\n。在欧洲,希特勒的一把大火,烧掉了这个世界和平的幻梦。战争的车轮正在滚滚向前,我们到底该何去何从？【欢迎使用漫天花雨mod】;;;;;;;;;;x
ROAD_TO_WAR_NAME;卢沟残月 ;;;;;;;;;;X
ROAD_TO_WAR_DESC;1918年的枪声在11月11天11个小时之后沉寂了,当时被称为“最后一场战争”的第一次世界大战终于结束了,接下来的事情似乎\n就是如何争取和平。然而当法国陆军元帅斐迪南·福煦看到他所提出的《凡尔赛和约》签订之后,他说“这不是和平,这只是二\n十年的休战”。如今到了1936年1月1日,福煦的预言看来似乎正要成真。\n【欢迎使用漫天花雨mod】;;;;;;;;;;X
GATHERING_STORM_NAME;山河血染 ;;;;;;;;;;X
GATHERING_STORM_DESC;战争起始于亚洲,当日本军队继续在中国的暴行时,欧洲的凡尔赛和约已经形同虚设,和平只剩下一个希望,但已十分渺茫。德\n国被重新武装起来,并且重新占领了莱茵兰,吞并了奥地利。现在她已经将目光转向苏台德地区。希特勒声称“这是我在欧洲最\n后的领土要求”。英国可能愿意信任希特勒最后一次,但在这之后情况就会有所改变了。\n【欢迎使用漫天花雨mod】;;;;;;;;;;X
FATHERING_STORM_NAME;天无二日;;;;;;;;;;x
FATHERING_STORM_DESC;看似无法战胜的日军的铁蹄终于在徐州停滞了下来,中国军队的顽强阻击终于取得了成效。徐州——这座中国津浦路上的交通枢纽正悄悄地迎接着大战的到来。【欢迎使用漫天花雨mod】;;;;;;;;;;x
BLITZKRIEG_NAME;最后时刻 ;;;;;;;;;;X
BLITZKRIEG_DESC;希特勒的许诺就像一纸空文,所谓保证了一个时代和平的慕尼黑协定在六个月之内就被撕毁了。当苏联与恶魔签订互不侵犯条约\n时,盟国的军队正在为战争作准备。德国对波兰的入侵意味着战争。张伯伦希望“在有生之年看到纳粹主义的灭亡,欧洲能够走\n出其阴影并且重新傲立于世”。然而,他在第二年去世——这使得和平得以多维持一段时间。张伯伦去世后,德军立刻发动了对苏联的进攻,并且在六个月内就兵临莫斯科城下,苏联--这个世界巨人已经被推到了崩溃的边缘。远东方面,日本早已深陷中国战场,战事的解决遥遥无期,为了解决国内资源问题,发动了对英美旨在夺取亚太、制霸南洋的大规模进攻。北非在隆美尔的装甲军队的攻势之下岌岌可危......世界已经到了最后一刻。【欢迎使用漫天花雨mod】;;;;;;;;;;X
AWAKENING_THE_GIANT_NAME;巴巴罗萨 ;;;;;;;;;;X
AWAKENING_THE_GIANT_DESC;法国战役只持续了六个星期,德军再一次获得了巨大的成功。不列颠空战是希特勒迫使英国退出战争的一次尝试。然而丘吉尔比\n张伯伦难缠得多,他宣称“我们的政策就是用上帝所给予我们的全部能力和全部力量,在海上、陆地上和空中进行战争。”并且\n声称不会被威胁所阻碍。在西线的盟军被大海所阻挡后,来自东方的诱惑对于希特勒和德国陆军而言变得越来越不可遏制。他的\n军队开始集结于东部边境,两个欧洲巨人的较量就要展开了。\n【欢迎使用漫天花雨mod】;;;;;;;;;;X
DAY_OF_INFAMY_NAME;掷命之搏 ;;;;;;;;;;X
DAY_OF_INFAMY_DESC;欧洲战场上德军对莫斯科的攻势逐渐陷入停顿,此时早已准备多时的苏联红军开始了反击,其箭头正是从远东方面军中抽调的精\n锐部队。但对远东边境不设防对斯大林而言并不是一种赌博。内务部间谍理查德·佐尔格传回红军最高统帅部的消息指出,日本\n人正把眼光对准南洋。从1937年开始对中国的侵略以来,日本在中国战场不断取得的进展以及吞并法属印度支那的行为使得它和\n美国的关系不断地恶化。美国对日本的石油禁运更使得日本统帅部不得不选择战争。“1941年12月七日,将成为我国的国耻日”\n罗斯福如是说。日本帝国海军发动了一场震惊美国的袭击。四天之后德国也不顾一切地向美国宣战……\n【欢迎使用漫天花雨mod】;;;;;;;;;;X
THE_TIDE_HAS_TURNED_NAME;凯歌将奏 ;;;;;;;;;;X
THE_TIDE_HAS_TURNED_DESC;看似不能停止的纳粹铁蹄终于颤抖着停滞下来。日本在中途岛的失败使得美军在太平洋战场取得优势,而第六集团军在斯大林格\n勒的投降则使德国陆军受到了致命的打击。同时地中海战场日益恶化的局势使得意大利政府摇摇欲坠。但虽然丘吉尔在稍后说“\n阿拉曼战役之前,我们没有胜利。阿拉曼战役后,我们没有失败。”但是轴心国仍然拥有强大的陆军并且控制着大片的领土。通\n向胜利之路仍然很漫长。\n【欢迎使用漫天花雨mod】;;;;;;;;;;X
GOTTERDAMMERUNG_NAME;诸神黄昏 ;;;;;;;;;;X
GOTTERDAMMERUNG_DESC;意大利投降了。日军深陷于太平洋上的岛礁。德军则在从东线撤退并且没有能够阻止盟军在西线登陆。正如日本外相所说的“我\n们正在地狱中”。\n【欢迎使用漫天花雨mod】;;;;;;;;;;x
45GATHERING_STORM_NAME;谁主浮沉 ;;;;;;;;;;x
45GATHERING_STORM_DESC;随着世界殖民体系的崩溃,霸权国家地位的动摇,世界正面临千百年未见之大变局。\n欧洲的铁幕刚刚落下,在遥远的东方,双十协定也成了一纸空文。八年内战遍地哀鸿,今日内战又起。问苍茫大地,谁主浮沉？【欢迎使用漫天花雨mod】;;;;;;;;;;x
48GATHERING_STORM_NAME;黎明前夜 ;;;;;;;;;;x
48GATHERING_STORM_DESC;随着国军被人民解放军逐出东北、刘邓军队挺进大别山,国共内战的转折点已然到来。正当英美法三国为成立西德四处筹措时,来自东方的红色钢铁洪流又何尝不是虎视眈眈。随着世界殖民体系的崩溃,霸权国家地位的动摇,世界正面临千百年未见之大变局。【欢迎使用漫天花雨mod】;;;;;;;;;;;;x
49GATHERING_STORM_NAME;钟山风雨 ;;;;;;;;;;x
49GATHERING_STORM_DESC;正当西方世界恐惧在铁幕之下时,人民解放军却以迅雷之势横渡长江,这片古老的土地上长达十九年的战火终于进入尾声,一个空前团结的中国将会在不久的将来屹立于世界东方。【欢迎使用漫天花雨mod】;;;;;;;;;;x
